frame,ok,h1_rmsd,h2_rmsd,alpha,beta,abs_beta,gamma,zeta_alpha_plus_gamma
179,1,1.021,1.025,52.08,61.908,61.908,-97.549,-45.46900000000001
180,1,1.157,0.984,46.941,63.167,63.167,-93.738,-46.797
181,1,0.79,1.276,53.457,63.871,63.871,-76.553,-23.095999999999997
182,1,1.079,1.388,53.309,55.956,55.956,-80.13,-26.820999999999998
183,1,1.042,1.393,57.1,56.814,56.814,-84.642,-27.541999999999994
184,1,0.92,1.15,57.374,54.634,54.634,-89.035,-31.660999999999994
185,1,1.111,1.041,52.797,54.522,54.522,-86.509,-33.712
186,1,1.122,1.231,52.963,46.981,46.981,-79.575,-26.612000000000002
187,1,1.053,1.267,53.881,54.516,54.516,-85.15,-31.269000000000005
188,1,0.898,1.522,48.97,52.799,52.799,-78.952,-29.982
189,1,0.891,1.381,49.769,59.545,59.545,-82.277,-32.508
190,1,0.936,1.387,49.969,55.58,55.58,-81.039,-31.07
191,1,0.85,1.353,57.301,52.714,52.714,-85.238,-27.936999999999998
192,1,0.946,1.305,57.002,47.344,47.344,-86.201,-29.19899999999999
193,1,1.008,1.309,49.132,51.095,51.095,-80.741,-31.609
194,1,0.947,1.337,49.7,55.176,55.176,-81.262,-31.561999999999998
195,1,0.86,1.111,54.458,52.233,52.233,-85.587,-31.129000000000005
196,1,0.868,1.255,57.783,56.812,56.812,-89.291,-31.507999999999996
197,1,0.765,1.247,44.922,48.053,48.053,-80.239,-35.31700000000001
198,1,1.055,1.176,45.396,52.07,52.07,-84.516,-39.120000000000005
199,1,0.648,1.243,39.978,55.594,55.594,-83.117,-43.139
200,1,0.566,1.059,43.405,55.94,55.94,-88.737,-45.331999999999994
201,1,1.216,1.195,53.62,49.622,49.622,-72.258,-18.637999999999998
202,1,0.975,1.203,63.42,57.474,57.474,-77.914,-14.494
203,1,1.131,0.982,63.217,57.528,57.528,-81.565,-18.348
204,1,1.288,1.537,63.562,51.547,51.547,-82.927,-19.36500000000001
205,1,1.138,1.03,64.485,59.014,59.014,-81.505,-17.019999999999996
206,1,1.495,1.243,68.233,58.936,58.936,-83.591,-15.35799999999999
207,1,1.019,1.035,72.984,65.531,65.531,-83.874,-10.89
208,1,1.219,0.833,72.135,56.828,56.828,-83.068,-10.932999999999993
209,1,1.228,0.95,75.163,57.421,57.421,-82.758,-7.594999999999999
210,1,1.291,0.973,72.645,63.362,63.362,-82.789,-10.144000000000005
211,1,1.474,1.048,70.12,59.099,59.099,-86.203,-16.083
212,1,1.141,0.944,71.43,59.119,59.119,-87.278,-15.847999999999999
213,1,1.349,1.14,67.465,57.078,57.078,-86.523,-19.057999999999993
214,1,1.46,0.935,66.411,53.257,53.257,-84.37,-17.959000000000003
215,1,1.455,1.019,61.626,50.993,50.993,-79.934,-18.308
216,1,1.424,1.318,63.391,55.305,55.305,-81.069,-17.678000000000004
217,1,1.35,1.158,60.182,54.154,54.154,-75.9,-15.718000000000004
218,1,1.19,1.406,57.847,52.74,52.74,-73.136,-15.288999999999994
219,1,1.514,1.014,67.828,54.542,54.542,-76.582,-8.75399999999999
220,1,1.355,0.793,68.181,57.834,57.834,-76.508,-8.326999999999998
221,1,1.378,0.96,62.629,54.026,54.026,-75.68,-13.051000000000009
222,1,1.356,1.189,59.193,49.999,49.999,-74.914,-15.721000000000004
223,1,1.666,1.301,60.301,59.4,59.4,-73.006,-12.704999999999998
224,1,1.282,0.751,65.07,51.108,51.108,-73.882,-8.812000000000012
225,1,1.175,1.01,66.757,50.982,50.982,-71.989,-5.231999999999999
226,1,1.134,1.088,69.87,51.705,51.705,-76.126,-6.256
227,1,1.308,1.039,66.644,57.808,57.808,-76.414,-9.769999999999996
228,1,1.476,1.213,54.939,54.488,54.488,-71.152,-16.213
229,1,1.342,1.427,48.868,46.308,46.308,-63.484,-14.616
230,1,1.326,1.167,52.953,46.862,46.862,-68.006,-15.052999999999997
231,1,1.202,0.934,47.502,36.993,36.993,-68.222,-20.71999999999999
232,1,1.39,1.041,38.634,42.155,42.155,-63.823,-25.189
233,1,1.282,0.993,38.284,46.995,46.995,-71.856,-33.571999999999996
234,1,1.02,1.012,47.07,49.271,49.271,-75.83,-28.759999999999998
235,1,1.343,1.029,47.19,45.886,45.886,-77.231,-30.040999999999997
236,1,1.154,1.217,41.606,46.477,46.477,-72.344,-30.737999999999992
237,1,1.04,0.898,37.15,45.993,45.993,-71.619,-34.469
238,1,1.05,0.827,44.085,40.723,40.723,-76.743,-32.657999999999994
239,1,0.842,1.361,36.17,41.607,41.607,-63.599,-27.428999999999995
240,1,1.113,1.451,45.404,48.526,48.526,-68.85,-23.44599999999999
241,1,1.048,1.183,40.334,49.999,49.999,-64.577,-24.242999999999995
242,1,1.064,1.273,49.089,52.23,52.23,-68.286,-19.197000000000003
243,1,1.132,1.174,48.548,47.75,47.75,-73.098,-24.549999999999997
244,1,0.931,1.097,37.697,46.068,46.068,-60.69,-22.992999999999995
245,1,1.043,0.7,52.186,43.476,43.476,-72.945,-20.758999999999993
246,1,0.82,0.939,49.173,47.144,47.144,-68.907,-19.733999999999995
247,1,0.947,0.925,41.565,49.277,49.277,-64.19,-22.625
248,1,0.959,0.811,45.165,41.866,41.866,-73.378,-28.213
249,1,1.118,0.932,49.715,37.26,37.26,-78.052,-28.337000000000003
250,1,0.982,1.175,46.558,38.308,38.308,-74.256,-27.698
251,1,0.941,1.081,40.133,42.269,42.269,-71.107,-30.973999999999997
252,1,1.043,1.088,32.771,49.175,49.175,-59.308,-26.537
253,1,0.803,0.902,30.136,46.345,46.345,-56.228,-26.092000000000002
254,1,0.887,1.039,36.839,43.85,43.85,-59.867,-23.028
255,1,0.822,1.048,43.945,49.541,49.541,-68.953,-25.008000000000003
256,1,0.813,0.828,35.346,52.149,52.149,-61.824,-26.478
257,1,0.578,1.011,36.472,46.885,46.885,-60.709,-24.237000000000002
258,1,0.792,1.198,35.815,52.596,52.596,-60.2,-24.385000000000005
259,1,0.542,1.07,35.478,52.388,52.388,-61.892,-26.414
260,1,1.241,1.145,41.435,50.601,50.601,-68.186,-26.751000000000005
261,1,0.806,1.023,37.366,53.926,53.926,-57.317,-19.951
262,1,0.872,1.111,38.55,55.226,55.226,-63.399,-24.849000000000004
263,1,0.932,1.049,43.969,54.538,54.538,-67.293,-23.324000000000005
264,1,0.801,0.834,37.759,51.847,51.847,-58.93,-21.171
265,1,0.738,0.828,39.118,55.659,55.659,-62.435,-23.317
266,1,0.983,0.774,43.32,57.822,57.822,-74.692,-31.371999999999993
267,1,0.923,0.725,48.217,58.136,58.136,-72.623,-24.406000000000006
268,1,1.134,0.84,42.149,54.114,54.114,-69.099,-26.950000000000003
269,1,0.977,0.7,48.565,55.03,55.03,-70.145,-21.58
270,1,0.651,0.745,50.868,53.324,53.324,-67.786,-16.918
271,1,0.769,0.641,56.6,55.251,55.251,-70.945,-14.344999999999992
272,1,0.852,0.793,48.355,55.312,55.312,-59.989,-11.634
273,1,0.835,0.679,42.66,56.993,56.993,-61.487,-18.827000000000005
274,1,0.578,0.864,54.008,59.473,59.473,-71.731,-17.722999999999992
275,1,0.746,1.011,59.952,61.758,61.758,-71.311,-11.359000000000009
276,1,0.609,0.766,57.463,57.841,57.841,-71.971,-14.508000000000003
277,1,0.916,0.785,59.765,60.994,60.994,-68.823,-9.057999999999993
278,1,0.957,0.659,62.277,57.873,57.873,-70.427,-8.150000000000006
279,1,0.665,0.814,59.329,64.625,64.625,-65.673,-6.344000000000001
280,1,0.888,0.732,58.288,61.583,61.583,-63.936,-5.648000000000003
281,1,1.037,1.075,28.477,50.948,50.948,-66.238,-37.760999999999996
282,1,0.753,0.707,29.498,56.732,56.732,-71.285,-41.78699999999999
283,1,1.17,0.798,34.293,56.114,56.114,-72.868,-38.574999999999996
284,1,0.788,0.978,30.192,53.918,53.918,-67.097,-36.904999999999994
285,1,1.078,1.23,32.364,59.219,59.219,-70.609,-38.245
286,1,1.144,0.995,38.448,58.609,58.609,-76.386,-37.937999999999995
287,1,0.687,0.911,35.83,62.06,62.06,-75.046,-39.21600000000001
288,1,0.83,1.072,30.037,63.072,63.072,-65.926,-35.889
289,1,0.677,0.823,25.521,58.818,58.818,-61.776,-36.255
290,1,0.704,0.913,26.423,65.045,65.045,-62.506,-36.083
291,1,0.869,1.107,55.935,58.076,58.076,-54.786,1.149000000000001
292,1,0.752,0.574,70.212,57.571,57.571,-68.477,1.7349999999999994
293,1,1.045,0.698,67.716,55.823,55.823,-67.581,0.1349999999999909
294,1,0.724,0.963,65.212,57.253,57.253,-65.703,-0.49099999999999966
295,1,0.728,0.797,64.526,56.002,56.002,-59.897,4.628999999999998
296,1,0.87,0.87,68.4,61.47,61.47,-56.468,11.932000000000002
297,1,0.805,0.829,69.283,63.334,63.334,-53.269,16.014000000000003
298,1,1.144,0.784,69.039,63.965,63.965,-61.426,7.6129999999999995
299,1,0.706,0.676,78.724,59.39,59.39,-61.821,16.903000000000006
300,1,0.969,0.825,75.697,63.008,63.008,-57.551,18.146
301,1,1.158,1.074,73.301,56.739,56.739,-55.85,17.451
302,1,0.914,1.102,79.689,59.546,59.546,-57.993,21.69599999999999
303,1,1.145,1.117,78.134,57.261,57.261,-61.149,16.985
304,1,1.08,0.838,81.096,58.392,58.392,-66.732,14.364000000000004
305,1,1.189,0.575,76.314,57.759,57.759,-59.565,16.748999999999995
306,1,1.173,0.802,67.324,61.27,61.27,-57.387,9.936999999999998
307,1,0.939,0.832,72.552,59.568,59.568,-60.299,12.253000000000007
308,1,0.996,0.827,59.217,58.193,58.193,-50.93,8.286999999999999
309,1,1.011,0.962,53.776,63.477,63.477,-47.161,6.615000000000002
310,1,0.97,0.762,51.02,58.474,58.474,-45.847,5.173000000000002
311,1,0.862,1.013,45.04,52.002,52.002,-43.092,1.9480000000000004
312,1,0.877,0.768,61.298,53.504,53.504,-50.067,11.231000000000002
313,1,1.0,0.983,66.151,46.866,46.866,-50.457,15.693999999999996
314,1,0.837,0.859,67.761,54.581,54.581,-52.469,15.291999999999994
315,1,0.81,0.8,68.238,56.722,56.722,-49.996,18.241999999999997
316,1,0.777,0.963,68.231,57.953,57.953,-55.861,12.369999999999997
317,1,1.104,0.823,63.718,51.18,51.18,-59.356,4.362000000000002
318,1,1.093,0.657,63.461,56.813,56.813,-53.627,9.833999999999996
319,1,1.272,0.716,70.067,50.492,50.492,-55.937,14.129999999999995
320,1,1.301,0.857,72.719,55.386,55.386,-56.44,16.278999999999996
321,1,1.23,0.788,68.91,57.703,57.703,-57.135,11.774999999999999
322,1,1.251,0.689,69.071,54.596,54.596,-58.599,10.472000000000001
323,1,0.951,1.037,65.055,53.758,53.758,-54.673,10.382000000000005
324,1,1.142,0.843,65.043,53.447,53.447,-50.881,14.162000000000006
325,1,0.943,0.924,66.426,52.18,52.18,-58.764,7.661999999999999
326,1,0.887,0.87,67.297,52.446,52.446,-56.561,10.735999999999997
327,1,1.294,1.021,58.336,58.508,58.508,-47.33,11.006
328,1,1.491,0.821,59.7,57.754,57.754,-45.402,14.298000000000002
329,1,1.276,0.658,63.262,54.346,54.346,-42.762,20.5
330,1,1.49,0.671,78.883,54.741,54.741,-48.357,30.525999999999996
331,1,0.788,0.935,25.421,67.983,67.983,-51.245,-25.823999999999998
332,1,0.845,0.885,26.566,70.753,70.753,-48.925,-22.358999999999998
333,1,0.849,0.906,22.305,61.561,61.561,-48.931,-26.625999999999998
