frame,ok,h1_rmsd,h2_rmsd,alpha,beta,abs_beta,gamma,zeta_alpha_plus_gamma
256,1,2.869,1.115,75.054,59.941,59.941,9.588,84.642
257,1,3.0,1.121,70.595,58.146,58.146,17.076,87.67099999999999
258,1,3.354,1.166,71.999,60.144,60.144,17.914,89.913
259,1,2.739,1.051,74.888,62.66,62.66,11.363,86.251
260,1,3.06,0.988,74.171,66.596,66.596,7.222,81.393
261,1,2.897,1.096,71.584,65.894,65.894,15.042,86.626
262,1,2.751,1.319,67.295,64.701,64.701,15.528,82.82300000000001
263,1,2.869,1.185,56.367,73.897,73.897,19.194,75.56099999999999
264,1,2.837,1.155,60.457,72.652,72.652,17.427,77.884
265,1,2.828,0.866,62.441,75.046,75.046,17.199,79.64
266,1,2.827,1.008,65.13,72.639,72.639,11.438,76.568
267,1,2.882,1.315,59.486,75.925,75.925,19.157,78.643
268,1,2.759,1.112,51.596,72.307,72.307,22.145,73.741
269,1,2.588,1.406,57.355,70.947,70.947,22.214,79.56899999999999
270,1,2.724,1.042,57.133,67.601,67.601,34.803,91.936
271,1,2.718,1.302,51.038,69.058,69.058,37.689,88.727
272,1,2.452,1.13,45.608,69.666,69.666,42.504,88.112
273,1,2.585,1.197,47.58,67.252,67.252,34.703,82.283
274,1,2.767,1.231,49.333,61.76,61.76,39.479,88.812
275,1,2.688,1.032,48.423,61.512,61.512,37.191,85.614
276,1,2.585,1.049,55.348,67.371,67.371,31.932,87.28
277,1,2.882,1.19,57.513,70.219,70.219,29.381,86.894
278,1,2.663,1.309,50.409,68.254,68.254,34.213,84.622
279,1,2.532,1.442,44.753,73.021,73.021,35.438,80.191
280,1,2.458,1.304,49.115,78.245,78.245,37.165,86.28
281,1,2.491,1.384,55.942,73.535,73.535,38.433,94.375
282,1,2.594,1.221,52.776,69.69,69.69,37.926,90.702
283,1,2.405,1.034,61.289,67.497,67.497,33.364,94.65299999999999
284,1,2.5,1.114,56.761,72.695,72.695,32.842,89.60300000000001
285,1,2.643,0.917,58.331,66.372,66.372,29.38,87.711
286,1,2.937,0.978,54.451,64.454,64.454,42.926,97.37700000000001
287,1,2.932,1.005,49.76,62.399,62.399,42.155,91.91499999999999
288,1,2.712,1.024,50.311,71.6,71.6,43.864,94.175
289,1,2.619,0.654,42.899,69.223,69.223,39.654,82.553
290,1,2.548,0.765,43.215,75.597,75.597,34.129,77.344
291,1,2.535,0.822,40.059,72.031,72.031,37.359,77.418
292,1,2.437,1.134,42.367,72.667,72.667,31.605,73.972
293,1,2.366,1.009,48.256,72.435,72.435,25.422,73.678
294,1,2.457,1.08,40.913,69.959,69.959,37.237,78.15
295,1,2.44,0.606,38.894,64.352,64.352,32.573,71.467
296,1,2.414,0.759,44.53,60.069,60.069,25.289,69.819
297,1,2.476,0.618,36.466,61.95,61.95,28.175,64.641
298,1,2.369,0.628,37.945,67.3,67.3,29.15,67.095
299,1,2.435,0.788,30.704,61.394,61.394,25.543,56.247
300,1,2.16,0.736,38.148,63.698,63.698,24.374,62.522000000000006
301,1,2.368,1.0,36.729,61.883,61.883,22.218,58.947
302,1,2.295,0.827,27.853,63.753,63.753,27.091,54.944
303,1,2.049,0.924,27.727,72.971,72.971,27.018,54.745000000000005
304,1,2.036,0.767,32.241,69.671,69.671,30.043,62.284
305,1,2.312,1.219,29.995,67.822,67.822,26.622,56.617000000000004
306,1,2.18,1.008,25.23,71.89,71.89,25.033,50.263000000000005
307,1,2.133,1.055,28.437,75.538,75.538,33.693,62.129999999999995
308,1,2.172,1.283,26.548,86.185,86.185,43.569,70.117
309,1,2.047,0.726,29.936,78.326,78.326,39.291,69.227
310,1,1.856,0.7,33.703,77.444,77.444,39.41,73.113
311,1,1.836,1.047,34.623,78.141,78.141,34.725,69.348
312,1,2.065,0.794,27.763,75.311,75.311,37.81,65.57300000000001
313,1,1.966,0.807,34.012,71.089,71.089,36.658,70.67
314,1,2.034,0.812,36.012,70.159,70.159,35.618,71.63
315,1,1.474,0.853,39.523,59.265,59.265,24.091,63.614000000000004
316,1,1.891,0.871,42.933,55.779,55.779,11.867,54.8
317,1,1.915,0.711,45.711,50.582,50.582,18.541,64.252
318,1,1.819,0.561,46.782,52.485,52.485,12.707,59.489
319,1,1.983,0.692,39.45,56.353,56.353,18.463,57.913000000000004
320,1,2.404,0.68,40.601,52.258,52.258,16.603,57.204
321,1,1.939,1.017,45.679,52.429,52.429,5.34,51.019000000000005
322,1,1.855,1.095,37.617,57.513,57.513,9.18,46.797
323,1,1.783,0.863,33.436,60.335,60.335,21.146,54.582
324,1,2.18,0.443,27.364,62.901,62.901,22.418,49.782
325,1,1.813,0.677,28.84,61.823,61.823,18.326,47.166
326,1,2.156,0.634,29.279,55.951,55.951,18.661,47.94
327,1,2.105,0.603,31.42,62.689,62.689,26.221,57.641000000000005
328,1,1.983,0.797,33.127,65.064,65.064,22.677,55.804
329,1,2.216,0.71,37.379,59.513,59.513,14.428,51.807
330,1,2.202,0.9,39.571,60.188,60.188,14.418,53.989
331,1,1.943,1.09,40.904,60.616,60.616,12.998,53.902
332,1,1.975,0.817,39.273,64.535,64.535,23.799,63.072
333,1,1.904,0.649,35.31,65.131,65.131,20.865,56.175
334,1,1.758,0.681,33.347,61.907,61.907,25.686,59.033
335,1,1.835,0.668,26.904,61.924,61.924,27.16,54.064
336,1,1.573,0.615,28.475,62.179,62.179,17.28,45.755
