frame,ok,h1_rmsd,h2_rmsd,alpha,beta,abs_beta,gamma,zeta_alpha_plus_gamma,replicate,sas_rdc_rmsd,selection_rank
14770,1,1.3,0.962,-20.745000000000005,63.815,63.815,-11.135999999999996,-31.881,6,1.876,16
15964,1,0.902,0.589,-32.02000000000001,-11.790999999999997,11.791,45.56200000000001,13.542000000000002,6,1.876,17
25214,1,2.025,0.847,23.14099999999999,34.287000000000006,34.287,4.919000000000011,28.060000000000002,6,1.876,18
276,1,1.342,1.039,-5.819999999999993,57.107,57.107,-13.465000000000003,-19.284999999999997,6,1.876,19
33290,1,2.034,0.842,34.101,78.77100000000002,78.771,7.299000000000007,41.400000000000006,6,1.876,20
18075,1,1.913,0.856,37.46800000000002,77.07900000000001,77.079,64.11500000000001,101.58299999999997,7,1.886,1
21292,1,0.819,1.504,-17.64500000000001,56.486999999999995,56.487,-17.865999999999985,-35.510999999999996,7,1.886,2
47291,1,1.231,0.822,64.786,42.54599999999999,42.546,-36.735000000000014,28.050999999999988,7,1.886,3
41254,1,1.03,0.907,5.771999999999991,70.213,70.213,-13.467000000000013,-7.694999999999993,7,1.886,4
15953,1,1.005,0.852,-25.456999999999994,-9.431000000000012,9.431,45.00399999999999,19.546999999999997,7,1.886,5
41350,1,1.697,0.806,-32.131,66.297,66.297,13.119,-19.012,7,1.886,6
15813,1,1.366,0.924,-4.421999999999997,71.63999999999999,71.64,-22.542,-26.964,7,1.886,7
39404,1,1.08,0.778,-21.698000000000008,94.10899999999998,94.109,-4.038000000000011,-25.73599999999999,7,1.886,8
32294,1,1.395,0.796,-67.565,35.197,35.197,28.068000000000012,-39.497000000000014,7,1.886,9
44197,1,1.289,0.888,28.951999999999998,97.82100000000003,97.821,56.48599999999999,85.43799999999999,7,1.886,10
41092,1,1.28,0.645,-5.153999999999996,51.536,51.536,-44.959,-50.113,7,1.886,11
14472,1,1.55,1.4,-10.75200000000001,27.724999999999994,27.725,-7.407000000000011,-18.158999999999992,7,1.886,12
25547,1,1.646,1.103,-59.92099999999999,34.343999999999994,34.344,10.957999999999998,-48.962999999999994,7,1.886,13
15960,1,0.909,0.771,-72.543,-9.84899999999999,9.849,83.452,10.908999999999992,7,1.886,14
6014,1,3.912,0.567,56.46800000000002,76.80399999999997,76.804,2.9850000000000136,59.453,7,1.886,15
