frame,ok,h1_rmsd,h2_rmsd,alpha,beta,abs_beta,gamma,zeta_alpha_plus_gamma
303,1,1.206,0.912,20.524,64.107,64.107,-52.584,-32.06
304,1,1.779,1.23,27.379,81.577,81.577,75.221,102.60000000000001
305,1,1.081,0.975,15.731,63.51,63.51,-49.027,-33.296
306,1,1.75,1.052,24.074,83.693,83.693,71.876,95.95
307,1,2.033,1.069,24.832,87.057,87.057,70.984,95.816
308,1,2.067,0.985,26.727,82.602,82.602,73.885,100.61200000000001
309,1,0.997,0.986,17.281,59.301,59.301,-27.031,-9.75
310,1,2.565,0.785,54.274,65.054,65.054,0.359,54.633
311,1,1.514,0.65,26.041,52.703,52.703,-57.794,-31.752999999999997
312,1,1.958,1.131,22.054,90.631,90.631,78.914,100.968
313,1,1.081,0.778,24.147,53.2,53.2,-33.67,-9.523000000000003
314,1,2.524,0.673,59.625,53.654,53.654,3.01,62.635
315,1,2.672,1.026,51.367,52.963,52.963,7.125,58.492
316,1,1.428,0.831,19.8,65.117,65.117,-48.864,-29.063999999999997
317,1,2.546,1.051,54.371,50.047,50.047,14.366,68.737
318,1,0.986,0.954,21.048,51.614,51.614,-35.863,-14.815000000000001
319,1,1.588,1.151,26.152,64.413,64.413,-49.036,-22.884
320,1,1.426,1.217,20.546,62.304,62.304,-49.479,-28.933
321,1,2.472,0.77,41.347,47.251,47.251,1.832,43.179
322,1,2.812,0.697,89.213,74.015,74.015,-36.931,52.282
323,1,1.42,1.148,23.333,59.956,59.956,-57.456,-34.123000000000005
324,1,1.064,0.607,-6.889,66.146,66.146,-26.242,-33.131
325,1,1.395,0.771,27.399,56.704,56.704,-57.044,-29.644999999999996
326,1,1.114,0.813,24.263,51.781,51.781,-35.06,-10.797
327,1,1.781,0.863,-2.342,47.378,47.378,6.711,4.369
328,1,0.957,0.942,21.136,56.445,56.445,-31.978,-10.842000000000002
329,1,1.232,1.029,25.114,56.03,56.03,-56.405,-31.291
330,1,1.786,0.803,-7.148,44.912,44.912,7.852,0.7040000000000006
331,1,0.918,0.709,-8.885,55.998,55.998,-26.524,-35.409
332,1,1.64,1.183,-8.804,46.012,46.012,6.944,-1.8600000000000003
333,1,1.826,1.141,-10.169,46.878,46.878,6.737,-3.4320000000000004
334,1,1.23,0.644,-11.301,53.94,53.94,-28.518,-39.819
335,1,1.885,0.966,-9.363,55.325,55.325,15.914,6.551
336,1,1.238,1.029,28.901,52.45,52.45,-36.681,-7.779999999999998
337,1,1.319,1.04,34.887,52.456,52.456,-41.746,-6.859000000000002
338,1,1.029,0.75,34.182,49.552,49.552,-42.992,-8.809999999999995
339,1,1.025,0.727,37.053,47.559,47.559,-46.927,-9.874000000000002
340,1,1.957,0.648,-12.089,45.642,45.642,17.863,5.773999999999999
341,1,0.945,1.115,13.729,65.352,65.352,-49.509,-35.78
342,1,1.142,1.174,17.023,74.508,74.508,-41.9,-24.877
343,1,0.971,1.174,14.624,69.772,69.772,-44.917,-30.293
344,1,1.061,1.165,7.284,64.642,64.642,-39.146,-31.862000000000002
345,1,0.923,0.813,29.405,45.421,45.421,-33.947,-4.542000000000002
346,1,1.446,0.715,16.778,86.072,86.072,69.128,85.906
347,1,1.036,0.798,9.925,67.328,67.328,-42.548,-32.623000000000005
348,1,1.543,0.942,-3.942,48.77,48.77,-39.741,-43.683
349,1,1.046,0.768,5.369,63.067,63.067,-44.567,-39.198
350,1,1.807,1.148,19.862,80.908,80.908,77.738,97.6
351,1,0.949,0.882,3.95,62.685,62.685,-44.213,-40.263
352,1,0.816,0.794,-1.867,63.284,63.284,-36.557,-38.424
353,1,0.804,0.753,-4.377,58.093,58.093,-35.674,-40.051
354,1,1.078,0.617,-0.446,56.079,56.079,-40.701,-41.147
355,1,0.968,0.671,7.625,62.81,62.81,-51.221,-43.596
356,1,1.286,0.902,-7.685,44.822,44.822,-40.382,-48.067
357,1,1.299,0.797,-0.612,39.233,39.233,-9.224,-9.836
358,1,1.332,0.894,4.827,55.307,55.307,-50.407,-45.58
359,1,1.044,0.717,7.131,49.37,49.37,-47.215,-40.084
360,1,1.058,0.545,13.552,57.862,57.862,-59.086,-45.534
361,1,1.206,1.059,2.59,42.863,42.863,-1.91,0.6799999999999999
362,1,1.439,0.633,-3.544,59.302,59.302,-50.091,-53.635
363,1,1.428,0.801,-7.115,60.983,60.983,-43.439,-50.554
364,1,1.5,0.841,-6.066,31.31,31.31,7.852,1.7860000000000005
365,1,1.277,0.754,7.276,51.099,51.099,-54.922,-47.646
366,1,1.367,1.115,1.546,40.743,40.743,7.373,8.919
367,1,1.548,1.05,29.604,56.397,56.397,-19.197,10.407
368,1,1.2,0.769,2.577,47.213,47.213,10.323,12.9
369,1,1.44,0.904,1.814,52.292,52.292,-56.891,-55.077
370,1,1.264,0.727,-1.5,51.315,51.315,-51.384,-52.884
371,1,1.955,1.237,21.388,84.801,84.801,84.888,106.27600000000001
372,1,1.796,1.421,18.912,88.299,88.299,82.982,101.894
373,1,1.358,0.944,20.471,74.511,74.511,-7.268,13.203
374,1,1.14,0.76,4.504,54.28,54.28,-49.275,-44.771
375,1,1.556,0.854,24.126,73.372,73.372,-3.948,20.178
376,1,1.802,1.359,13.63,93.765,93.765,76.495,90.125
377,1,1.578,1.054,18.775,69.555,69.555,-2.37,16.404999999999998
378,1,1.929,1.147,15.702,102.593,102.593,76.315,92.017
379,1,2.023,1.102,16.275,100.899,100.899,76.378,92.65299999999999
380,1,1.855,1.005,18.097,103.393,103.393,79.121,97.21799999999999
381,1,1.763,0.64,23.93,62.862,62.862,-15.432,8.498
382,1,1.463,0.833,19.092,48.368,48.368,-72.393,-53.301
383,1,1.502,1.0,29.614,63.503,63.503,-12.682,16.932000000000002
384,1,1.406,0.889,6.168,45.412,45.412,-0.985,5.183
385,1,1.21,0.655,2.285,64.975,64.975,-47.258,-44.973
386,1,1.354,1.01,0.636,47.045,47.045,6.984,7.62
387,1,1.528,1.12,-1.212,51.12,51.12,5.33,4.118
388,1,1.736,0.965,4.542,49.71,49.71,0.72,5.262
389,1,1.611,0.849,5.356,42.181,42.181,1.331,6.686999999999999
390,1,1.375,0.795,35.473,65.01,65.01,-15.089,20.384
391,1,1.255,0.619,4.346,71.188,71.188,-41.445,-37.099000000000004
392,1,1.401,0.681,7.73,44.706,44.706,-57.502,-49.772000000000006
393,1,1.204,0.739,7.843,45.327,45.327,-56.629,-48.786
394,1,1.209,0.998,1.961,47.994,47.994,-53.006,-51.045
395,1,1.273,0.76,29.298,68.191,68.191,-8.465,20.833
396,1,1.333,0.848,2.866,67.412,67.412,-41.404,-38.538000000000004
