frame,ok,h1_rmsd,h2_rmsd,alpha,beta,abs_beta,gamma,zeta_alpha_plus_gamma
264,1,0.49,0.696,-29.371,23.617,23.617,9.135,-20.235999999999997
265,1,0.607,0.581,-43.532,17.942,17.942,27.805,-15.726999999999997
266,1,0.736,0.819,-42.659,26.512,26.512,25.78,-16.878999999999998
267,1,0.477,0.661,-19.602,8.493,8.493,-4.367,-23.969
268,1,0.516,0.685,-10.375,18.33,18.33,-6.13,-16.505
269,1,0.449,0.583,-49.251,40.898,40.898,33.486,-15.765
270,1,0.499,0.512,10.236,30.797,30.797,-53.197,-42.961
271,1,0.713,0.777,-55.914,32.465,32.465,50.88,-5.033999999999999
272,1,0.645,0.704,-20.481,22.693,22.693,-0.386,-20.867
273,1,0.535,0.731,6.825,19.384,19.384,-31.374,-24.549
274,1,0.493,0.59,-39.271,10.783,10.783,22.112,-17.159000000000002
275,1,0.621,0.535,-37.465,39.301,39.301,33.987,-3.4780000000000015
276,1,0.539,0.723,-44.328,30.408,30.408,29.216,-15.112000000000002
277,1,0.69,0.658,-38.137,17.148,17.148,12.001,-26.136000000000003
278,1,0.737,0.832,-37.65,20.912,20.912,19.51,-18.139999999999997
279,1,0.624,0.735,-18.03,21.592,21.592,6.048,-11.982000000000001
280,1,0.669,0.61,-0.66,16.675,16.675,-13.343,-14.003
281,1,0.607,0.757,-26.154,28.208,28.208,8.539,-17.615000000000002
282,1,0.464,0.324,27.058,3.37,3.37,-54.894,-27.836
283,1,0.712,0.86,-41.799,26.258,26.258,18.397,-23.402
284,1,0.689,0.891,-32.863,35.75,35.75,25.7,-7.163
285,1,0.846,0.537,-55.699,28.225,28.225,46.095,-9.604
286,1,0.596,0.905,-25.401,32.239,32.239,8.917,-16.484
287,1,0.515,0.625,-47.631,20.057,20.057,18.291,-29.34
288,1,0.412,0.785,-14.978,15.865,15.865,6.129,-8.849
289,1,0.372,0.308,-29.576,21.459,21.459,-1.078,-30.654
290,1,0.565,0.678,-51.751,18.845,18.845,39.302,-12.448999999999998
291,1,0.765,0.789,-47.746,21.104,21.104,22.763,-24.983
292,1,0.554,0.376,-38.246,20.841,20.841,27.826,-10.420000000000002
293,1,0.76,0.611,-37.135,27.215,27.215,32.668,-4.466999999999999
294,1,0.665,0.462,-46.058,34.192,34.192,10.046,-36.012
295,1,0.791,0.574,-22.929,19.26,19.26,3.91,-19.019
296,1,0.798,0.683,-43.218,51.962,51.962,-4.784,-48.002
297,1,0.397,0.672,-25.553,26.937,26.937,1.292,-24.261
298,1,0.383,0.668,-28.98,21.421,21.421,9.118,-19.862000000000002
299,1,0.635,0.87,-25.548,31.843,31.843,11.714,-13.833999999999998
300,1,0.569,0.682,3.443,10.008,10.008,-29.146,-25.703
301,1,0.472,0.722,-40.843,32.292,32.292,22.421,-18.422000000000004
302,1,0.469,0.583,-10.313,30.141,30.141,-24.069,-34.382
303,1,0.442,0.519,14.224,9.305,9.305,-38.172,-23.947999999999997
304,1,0.661,0.599,-34.673,16.683,16.683,11.366,-23.307000000000002
305,1,0.919,0.718,-44.086,51.003,51.003,8.604,-35.482
306,1,0.352,0.738,-91.065,10.272,10.272,67.708,-23.357
307,1,0.855,0.523,-50.445,34.691,34.691,23.412,-27.033
308,1,0.788,0.81,-45.837,22.268,22.268,24.298,-21.539000000000005
309,1,0.599,0.71,-39.302,13.264,13.264,3.759,-35.543
310,1,0.738,0.736,15.017,15.711,15.711,-48.698,-33.681
311,1,0.436,0.827,-12.497,20.753,20.753,-6.025,-18.522
312,1,0.704,0.804,-20.059,14.317,14.317,0.845,-19.214000000000002
313,1,0.586,0.669,-38.02,28.798,28.798,29.616,-8.404000000000003
314,1,0.383,0.663,-19.928,-1.944,1.944,-3.564,-23.492
315,1,0.831,0.869,-37.727,39.076,39.076,18.887,-18.839999999999996
316,1,0.676,0.422,-23.124,17.03,17.03,-0.856,-23.98
317,1,0.437,0.656,-42.524,39.542,39.542,18.684,-23.84
318,1,0.733,0.814,-7.781,11.79,11.79,-11.384,-19.165
319,1,0.481,0.503,-14.954,16.323,16.323,-14.658,-29.612000000000002
320,1,0.618,0.751,4.908,14.71,14.71,-30.786,-25.878
321,1,0.634,0.794,-24.453,18.773,18.773,-1.862,-26.314999999999998
322,1,0.62,0.456,-51.272,21.393,21.393,27.779,-23.493
323,1,0.475,0.881,-26.591,18.722,18.722,7.541,-19.05
324,1,0.572,0.796,-44.131,33.758,33.758,36.091,-8.04
325,1,0.614,0.944,-36.881,43.892,43.892,30.626,-6.254999999999999
326,1,0.575,0.841,-25.65,23.21,23.21,5.586,-20.064
327,1,0.548,0.768,-26.122,20.425,20.425,9.435,-16.686999999999998
328,1,0.606,0.748,-11.62,11.505,11.505,-2.397,-14.017
329,1,0.597,0.732,-38.398,17.821,17.821,15.247,-23.151000000000003
330,1,0.436,0.611,-0.248,24.208,24.208,-16.916,-17.164
331,1,0.533,0.552,28.46,20.769,20.769,-74.614,-46.154
332,1,0.672,0.804,-34.743,30.166,30.166,27.3,-7.443000000000001
333,1,0.701,0.529,-31.907,17.14,17.14,22.015,-9.892
334,1,0.722,0.675,-51.956,37.513,37.513,42.924,-9.032000000000004
335,1,0.644,0.881,-38.474,30.578,30.578,31.512,-6.961999999999996
336,1,0.463,0.448,-41.552,39.573,39.573,30.261,-11.291
337,1,0.344,0.779,-18.308,21.906,21.906,5.206,-13.102
338,1,0.649,0.662,-43.698,20.13,20.13,16.603,-27.095
339,1,0.966,0.762,-41.96,27.75,27.75,17.762,-24.198
340,1,0.693,0.579,-36.788,17.839,17.839,30.439,-6.348999999999997
341,1,0.673,0.827,-23.24,20.238,20.238,14.015,-9.224999999999998
342,1,0.963,0.822,-40.407,22.603,22.603,19.464,-20.942999999999998
343,1,0.856,0.791,-30.002,42.347,42.347,18.546,-11.456
344,1,0.553,0.826,-26.015,22.88,22.88,5.093,-20.922
345,1,0.391,0.545,-13.03,18.962,18.962,-5.854,-18.884
346,1,0.383,0.5,-22.591,4.459,4.459,3.689,-18.902
347,1,0.704,0.358,-34.266,16.82,16.82,6.591,-27.674999999999997
348,1,0.564,0.903,-34.555,26.12,26.12,15.937,-18.618000000000002
349,1,0.743,0.614,-38.725,45.368,45.368,41.048,2.3230000000000004
350,1,0.848,0.839,-15.451,20.495,20.495,3.003,-12.448
351,1,0.783,0.754,-28.807,23.981,23.981,10.414,-18.393
352,1,0.671,0.704,-31.511,31.142,31.142,16.951,-14.559999999999999
353,1,0.612,0.504,-30.99,22.321,22.321,10.505,-20.485
354,1,0.617,0.606,-35.385,19.384,19.384,19.737,-15.648
355,1,0.513,0.68,-49.002,14.322,14.322,38.297,-10.705000000000005
356,1,0.59,0.705,-35.971,37.973,37.973,13.202,-22.769
357,1,0.56,0.59,-23.35,9.416,9.416,-3.092,-26.442
358,1,0.518,0.551,-18.135,30.155,30.155,0.475,-17.66
359,1,0.764,0.648,-49.139,32.277,32.277,35.111,-14.028000000000006
360,1,0.414,0.651,-40.486,17.627,17.627,24.918,-15.567999999999998
361,1,0.478,0.686,-36.667,19.799,19.799,18.001,-18.666
362,1,0.631,0.613,-31.369,28.978,28.978,5.399,-25.97
363,1,0.578,0.722,-30.718,33.057,33.057,10.331,-20.387
364,1,0.559,0.732,5.07,18.707,18.707,-23.071,-18.001
365,1,0.792,0.657,-49.15,42.318,42.318,29.934,-19.215999999999998
366,1,0.472,0.719,11.782,19.253,19.253,-30.536,-18.754
367,1,0.49,0.742,-51.086,36.295,36.295,31.7,-19.386
368,1,0.395,0.442,-35.103,19.578,19.578,17.311,-17.792
369,1,0.737,0.473,-34.713,17.978,17.978,3.269,-31.444000000000003
370,1,0.8,0.722,-3.819,19.154,19.154,-15.886,-19.705
371,1,0.663,0.774,-48.543,23.21,23.21,29.861,-18.682
372,1,0.753,0.766,-21.667,16.422,16.422,-12.894,-34.561
373,1,0.594,0.685,-21.695,13.349,13.349,5.476,-16.219
374,1,0.633,0.677,-23.776,29.795,29.795,9.364,-14.411999999999999
375,1,0.851,0.584,-48.8,40.434,40.434,48.195,-0.6049999999999969
376,1,0.793,0.723,-47.336,19.919,19.919,24.837,-22.499
377,1,0.376,0.493,-40.532,38.006,38.006,25.234,-15.297999999999995
378,1,0.666,0.85,-38.805,33.098,33.098,16.321,-22.483999999999998
379,1,0.633,0.546,-30.239,22.556,22.556,0.502,-29.737000000000002
380,1,0.78,0.905,0.979,23.414,23.414,-27.409,-26.43
381,1,0.543,0.757,-41.316,26.207,26.207,18.11,-23.206000000000003
382,1,0.643,0.859,-24.983,28.263,28.263,0.584,-24.399
