frame,ok,h1_rmsd,h2_rmsd,alpha,beta,abs_beta,gamma,zeta_alpha_plus_gamma
360,1,1.103,0.866,13.937,69.161,69.161,-33.896,-19.959000000000003
361,1,1.219,0.644,10.825,63.478,63.478,-31.734,-20.909000000000002
362,1,1.139,0.78,11.571,54.757,54.757,-31.911,-20.340000000000003
363,1,0.985,0.893,18.859,58.001,58.001,-41.568,-22.708999999999996
364,1,1.015,0.971,9.906,56.174,56.174,-34.58,-24.674
365,1,1.316,0.879,3.207,57.342,57.342,-27.768,-24.561
366,1,1.489,0.924,6.958,53.925,53.925,-31.794,-24.836
367,1,1.541,0.996,6.921,57.195,57.195,-36.275,-29.354
368,1,1.32,1.075,5.172,49.449,49.449,-38.799,-33.627
369,1,1.307,1.11,12.57,48.189,48.189,-45.272,-32.702
370,1,1.342,1.017,11.001,48.001,48.001,-40.595,-29.594
371,1,1.449,0.984,19.392,50.9,50.9,-47.389,-27.997000000000003
372,1,1.534,1.064,13.478,47.089,47.089,-45.898,-32.42
373,1,1.496,1.068,7.858,50.261,50.261,-36.449,-28.590999999999998
374,1,1.592,1.039,15.816,49.954,49.954,-47.077,-31.260999999999996
375,1,1.336,1.015,14.562,48.716,48.716,-45.041,-30.479
376,1,1.143,1.044,16.829,42.777,42.777,-44.976,-28.147
377,1,1.328,0.903,11.771,51.936,51.936,-43.272,-31.500999999999998
378,1,1.405,1.362,9.26,57.133,57.133,-40.835,-31.575000000000003
379,1,1.275,0.955,10.217,57.011,57.011,-43.201,-32.984
380,1,1.457,1.192,5.643,53.92,53.92,-41.799,-36.156
381,1,1.157,0.879,7.966,52.338,52.338,-49.145,-41.179
382,1,1.253,0.939,8.665,56.458,56.458,-42.72,-34.055
383,1,1.433,1.022,11.616,55.731,55.731,-43.947,-32.331
384,1,1.382,0.802,6.817,50.911,50.911,-41.725,-34.908
385,1,1.363,0.883,21.571,54.463,54.463,-51.314,-29.743
386,1,1.404,0.7,12.299,50.863,50.863,-49.019,-36.72
387,1,1.648,0.754,10.951,45.713,45.713,-45.78,-34.829
